#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Solar Wind Ion Composition Spectrometer
#     PROJECT                         ACE>Advanced Composition ExplorerISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       H6>12min Level 2 proton data
#     DESCRIPTOR                      SWICS>Solar Wind Ion Composition Spectrometer
#     DATA_VERSION                    3
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 2017036
#     LINK_TEXT                       Release notes and other info available at
#     LINK_TITLE                      the ACE Science Center  Level 2 Data website
#     HTTP_LINK                       http://www.srl.caltech.edu/ACE/ASC/level2/index.html
#     TEXT                            SWICS - The Solar Wind Ion Composition Spectrometer
#                                     determines uniquely the chemical and ionic-charge composition of the solar wind,
#                                     the temperatures and mean speeds of major solar wind ions, at all speeds
#                                     above 300 km/s (protons) and 170 km/s  (Fe+16), and resolves H and He isotopes
#                                     of solar and interstellar sources. SWICS measures the distribution functions
#                                     of the interstellar cloud and dust cloud pickup ions up to energies of 100 keV/e.                      
#                                     For more information about the SWICS instrument, visit the SWICS Home Page at
#                                     http://solar-heliospheric.engin.umich.edu/ace.
#                                     The quality of ACE level 2 data is such that it is suitable for serious
#                                     scientific study.  However, to avoid confusion and misunderstanding, it
#                                     is recommended that users consult with the appropriate ACE team members
#                                     before publishing work derived from the data. The ACE team has worked
#                                     hard to ensure that the level 2 data are free from errors, but the team
#                                     cannot accept responsibility for erroneous data, or for misunderstandings
#                                     about how the data may be used. This is especially true if the appropriate
#                                     ACE team members are not consulted before publication. At the very
#                                     least, preprints should be forwarded to the ACE team before publication.
#     MODS                            Initial Release 01/25/17
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_H6_SWI_20070101_V03
#     LOGICAL_SOURCE                  AC_H6_SWI
#     LOGICAL_SOURCE_DESCRIPTION      ACE/SWICS Solar Wind Protons 12-min Level 2 Data
#     PI_NAME                         G. Gloeckler
#     PI_AFFILIATION                  University of Maryland
#     MISSION_GROUP                   ACE
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     TIME_RESOLUTION                 12 minute
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, G. Gloeckler of
#                                     University of Maryland
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/ASC/level2/policy_lvl2.html
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, beginning of interval
#  2. Solar Wind Proton Number Density, scalar
#       NOTES:  nH is the number density of Protons in the solar wind, in #/cm^3
#  3. Solar Wind Proton speed, scalar
#       NOTES:  vH is the mean Proton speed in the solar wind, in km/s.
#
EPOCH                   PROTON_DENSITY  PROTON_SPEED
dd-mm-yyyy hh:mm:ss.ms          #/cm^3          km/s
01-01-2007 00:04:27.000        16.1600       324.050
01-01-2007 00:16:24.000        17.1490       330.860
01-01-2007 00:28:30.000        15.7310       324.690
01-01-2007 00:40:27.000        12.9980       324.030
01-01-2007 00:52:24.000        12.5640       323.520
01-01-2007 01:04:30.000        11.7970       324.400
01-01-2007 01:16:27.000        10.8160       327.030
01-01-2007 01:28:33.000        8.61290       328.860
01-01-2007 01:40:30.000        9.54000       327.320
01-01-2007 01:52:27.000        8.10690       331.060
01-01-2007 02:04:33.000        7.86330       330.100
01-01-2007 02:16:30.000        8.48050       330.270
01-01-2007 02:28:27.000        8.80380       332.060
01-01-2007 02:40:33.000        8.82590       330.970
01-01-2007 02:52:30.000        9.06620       332.600
01-01-2007 03:04:36.000        8.54010       344.630
01-01-2007 03:16:33.000        8.06460       343.190
01-01-2007 03:28:30.000        9.09360       339.370
01-01-2007 03:40:36.000        7.72310       337.630
01-01-2007 03:52:33.000        7.33200       335.700
01-01-2007 04:04:39.000        7.81550       332.800
01-01-2007 04:16:36.000        8.05780       336.500
01-01-2007 04:28:33.000        8.07050       333.560
01-01-2007 04:40:39.000        7.49670       333.680
01-01-2007 04:52:36.000        7.98940       333.320
01-01-2007 05:04:42.000        8.98300       335.460
01-01-2007 05:16:39.000        8.21070       336.370
01-01-2007 05:28:36.000        8.41390       334.600
01-01-2007 05:40:42.000        8.37050       334.910
01-01-2007 05:52:39.000        7.88710       336.440
01-01-2007 06:04:36.000        7.75650       337.020
01-01-2007 06:16:42.000        8.45910       337.280
01-01-2007 06:28:39.000        7.82150       339.540
01-01-2007 06:40:45.000        8.27780       340.550
01-01-2007 06:52:42.000        9.06970       338.390
01-01-2007 07:04:39.000        9.03880       339.860
01-01-2007 07:16:45.000        9.40400       339.890
01-01-2007 07:28:42.000        10.4830       338.860
01-01-2007 07:40:48.000        9.90800       344.260
01-01-2007 07:52:45.000        12.2740       354.230
01-01-2007 08:04:42.000        11.9260       348.360
01-01-2007 08:16:48.000        12.8120       350.440
01-01-2007 08:28:45.000        11.0990       351.500
01-01-2007 08:40:42.000        13.3400       353.850
01-01-2007 08:52:48.000        14.0820       354.720
01-01-2007 09:04:45.000        17.5640       363.430
01-01-2007 09:16:50.000        18.2220       360.560
01-01-2007 09:28:48.000        16.9140       366.100
01-01-2007 09:40:45.000        14.3180       363.070
01-01-2007 09:52:50.000        16.8570       365.100
01-01-2007 10:04:48.000        13.1760       371.770
01-01-2007 10:16:45.000        16.3150       356.990
01-01-2007 10:28:50.000        16.2050       366.020
01-01-2007 10:40:48.000        16.5180       365.640
01-01-2007 10:52:53.000        18.6240       368.210
01-01-2007 11:04:50.000        20.2630       371.930
01-01-2007 11:16:48.000        17.2030       367.340
01-01-2007 11:28:53.000        13.8070       359.110
01-01-2007 11:40:50.000        15.0100       357.010
01-01-2007 11:52:56.000        16.8990       358.400
01-01-2007 12:04:53.000        17.0090       355.390
