#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Magnetometer Parameters
#     PROJECT                         ACE>Advanced Composition Explorer
#                                     ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       H2>1-Hr Level 2 Data
#     DESCRIPTOR                      MAG>ACE Magnetic Field Instrument
#     DATA_VERSION                    5
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 20070215
#     LINK_TEXT                       Release notes and other info available at
#     LINK_TITLE                      the ACE Science Center Level 2 Data website
#     HTTP_LINK                       http://www.srl.caltech.edu/ACE/ASC/level2/index.html
#     TEXT                            MAG - ACE Magnetic Field Experiment
#                                     References: http://www.srl.caltech.edu/ACE/
#                                     The quality of ACE level 2 data is such that it is suitable for serious
#                                     scientific study.  However, to avoid confusion and misunderstanding, it
#                                     is recommended that users consult with the appropriate ACE team members
#                                     before publishing work derived from the data. The ACE team has worked
#                                     hard to ensure that the level 2 data are free from errors, but the team
#                                     cannot accept responsibility for erroneous data, or for misunderstandings
#                                     about how the data may be used. This is especially true if the appropriate
#                                     ACE team members are not consulted before publication. At the very
#                                     least, preprints should be forwarded to the ACE team before publication.
#     MODS                            Initial Release 9/6/01
#                                     12/04/02: Fixed description of Epoch time variable.
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_H2_MAG_20070101_V05
#     LOGICAL_SOURCE                  AC_H2_MFI
#     LOGICAL_SOURCE_DESCRIPTION      H2 - ACE Magnetic Field 1-Hour Level 2 Data
#     PI_NAME                         N. Ness
#     PI_AFFILIATION                  Bartol Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     TIME_RESOLUTION                 1 hour
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, N. Ness of Bartol Research
#                                     Institute
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/ASC/level2/policy_lvl2.html
#     ALT_LOGICAL_SOURCE              ACE_MAG_Solar-Wind-Magnetic-Field-Level2-H2_1hour_cdf
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, beginning of interval
#  2. B-field magnitude
#
EPOCH                           <|B|>
dd-mm-yyyy hh:mm:ss.ms             nT
01-01-2007 00:00:00.000       3.59700
01-01-2007 01:00:00.000       3.03100
01-01-2007 02:00:00.000       4.27300
01-01-2007 03:00:00.000       4.36400
01-01-2007 04:00:00.000       5.01400
01-01-2007 05:00:00.000       5.36400
01-01-2007 06:00:00.000       5.61900
01-01-2007 07:00:00.000       6.75000
01-01-2007 08:00:00.000       7.93500
01-01-2007 09:00:00.000       8.12400
01-01-2007 10:00:00.000       9.30300
01-01-2007 11:00:00.000       10.1340
01-01-2007 12:00:00.000       11.2530
01-01-2007 13:00:00.000       10.6910
01-01-2007 14:00:00.000       8.36700
01-01-2007 15:00:00.000       9.50400
01-01-2007 16:00:00.000       9.58200
01-01-2007 17:00:00.000       11.8890
01-01-2007 18:00:00.000       10.7840
01-01-2007 19:00:00.000       12.4940
01-01-2007 20:00:00.000       10.4410
01-01-2007 21:00:00.000       9.62800
01-01-2007 22:00:00.000       13.1540
01-01-2007 23:00:00.000       13.4470
02-01-2007 00:00:00.000       11.4230
02-01-2007 01:00:00.000       9.27300
02-01-2007 02:00:00.000       8.67100
02-01-2007 03:00:00.000       6.42300
02-01-2007 04:00:00.000       6.33300
02-01-2007 05:00:00.000       5.13200
02-01-2007 06:00:00.000       7.17900
02-01-2007 07:00:00.000       8.90400
02-01-2007 08:00:00.000       6.65000
02-01-2007 09:00:00.000       6.29400
02-01-2007 10:00:00.000       5.63900
02-01-2007 11:00:00.000       5.74200
02-01-2007 12:00:00.000       5.93200
02-01-2007 13:00:00.000       6.32100
02-01-2007 14:00:00.000       6.55200
02-01-2007 15:00:00.000       7.26100
02-01-2007 16:00:00.000       7.39200
02-01-2007 17:00:00.000       7.94000
02-01-2007 18:00:00.000       8.45500
02-01-2007 19:00:00.000       8.52400
02-01-2007 20:00:00.000       8.95600
02-01-2007 21:00:00.000       9.27400
02-01-2007 22:00:00.000       9.58000
02-01-2007 23:00:00.000       8.90600
03-01-2007 00:00:00.000       8.94900
03-01-2007 01:00:00.000       7.36900
03-01-2007 02:00:00.000       7.76600
03-01-2007 03:00:00.000       7.79800
03-01-2007 04:00:00.000       7.75500
03-01-2007 05:00:00.000       8.34000
03-01-2007 06:00:00.000       8.05800
03-01-2007 07:00:00.000       7.46000
03-01-2007 08:00:00.000       7.97200
03-01-2007 09:00:00.000       6.21400
03-01-2007 10:00:00.000       5.63200
03-01-2007 11:00:00.000       5.37200
03-01-2007 12:00:00.000       5.27600
03-01-2007 13:00:00.000       5.03300
03-01-2007 14:00:00.000       5.56000
03-01-2007 15:00:00.000       5.38100
03-01-2007 16:00:00.000       5.53800
03-01-2007 17:00:00.000       6.15600
03-01-2007 18:00:00.000       6.58400
03-01-2007 19:00:00.000       5.76100
03-01-2007 20:00:00.000       5.22800
03-01-2007 21:00:00.000       5.02900
03-01-2007 22:00:00.000       4.81000
03-01-2007 23:00:00.000       4.97700
04-01-2007 00:00:00.000       5.38400
04-01-2007 01:00:00.000       5.28300
04-01-2007 02:00:00.000       5.34700
04-01-2007 03:00:00.000       5.30500
04-01-2007 04:00:00.000       5.59300
04-01-2007 05:00:00.000       5.74400
04-01-2007 06:00:00.000       5.50000
04-01-2007 07:00:00.000       5.13400
04-01-2007 08:00:00.000       4.64400
04-01-2007 09:00:00.000       5.04100
04-01-2007 10:00:00.000       4.84100
04-01-2007 11:00:00.000       4.41400
04-01-2007 12:00:00.000       3.85700
04-01-2007 13:00:00.000       4.14700
04-01-2007 14:00:00.000       3.01400
04-01-2007 15:00:00.000       3.46700
04-01-2007 16:00:00.000       3.14500
04-01-2007 17:00:00.000       3.49600
04-01-2007 18:00:00.000       3.44200
04-01-2007 19:00:00.000       3.37400
04-01-2007 20:00:00.000       3.76400
04-01-2007 21:00:00.000       3.67700
04-01-2007 22:00:00.000       3.52500
04-01-2007 23:00:00.000       3.62800
05-01-2007 00:00:00.000       3.50600
05-01-2007 01:00:00.000       3.47800
05-01-2007 02:00:00.000       3.01200
05-01-2007 03:00:00.000       3.09200
05-01-2007 04:00:00.000       3.30300
05-01-2007 05:00:00.000       3.04800
05-01-2007 06:00:00.000       3.60700
05-01-2007 07:00:00.000       3.45500
05-01-2007 08:00:00.000       3.45600
05-01-2007 09:00:00.000       3.41700
05-01-2007 10:00:00.000       3.65500
05-01-2007 11:00:00.000       3.46600
05-01-2007 12:00:00.000       3.57400
05-01-2007 13:00:00.000       2.78700
05-01-2007 14:00:00.000       2.89000
05-01-2007 15:00:00.000       3.15100
05-01-2007 16:00:00.000       3.44400
05-01-2007 17:00:00.000       3.33600
05-01-2007 18:00:00.000       3.26200
05-01-2007 19:00:00.000       3.32700
05-01-2007 20:00:00.000       3.36800
05-01-2007 21:00:00.000       2.79500
05-01-2007 22:00:00.000       3.82500
05-01-2007 23:00:00.000       3.94300
06-01-2007 00:00:00.000       3.80300
06-01-2007 01:00:00.000       3.91300
06-01-2007 02:00:00.000       3.26300
06-01-2007 03:00:00.000       3.02800
06-01-2007 04:00:00.000       4.17200
06-01-2007 05:00:00.000       3.74500
06-01-2007 06:00:00.000       2.52200
06-01-2007 07:00:00.000       2.53100
06-01-2007 08:00:00.000       2.62100
06-01-2007 09:00:00.000       2.27500
06-01-2007 10:00:00.000       2.47900
06-01-2007 11:00:00.000       2.97100
06-01-2007 12:00:00.000       2.84300
06-01-2007 13:00:00.000       2.81500
06-01-2007 14:00:00.000       2.71700
06-01-2007 15:00:00.000       2.86600
06-01-2007 16:00:00.000       3.34300
06-01-2007 17:00:00.000       3.60400
06-01-2007 18:00:00.000       3.39400
06-01-2007 19:00:00.000       3.15200
06-01-2007 20:00:00.000       3.02300
06-01-2007 21:00:00.000       3.04000
06-01-2007 22:00:00.000       3.02400
06-01-2007 23:00:00.000       2.12300
07-01-2007 00:00:00.000       2.44800
07-01-2007 01:00:00.000       2.85900
07-01-2007 02:00:00.000       3.08100
07-01-2007 03:00:00.000       2.32700
07-01-2007 04:00:00.000       2.26100
07-01-2007 05:00:00.000       2.26500
