#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 1 Hour Interplantary OMNI data
#     DATA_TYPE                       H0>Definitive Hourly
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            Hourly averaged definitive multispacecraft interplanetary parameters data
#                                     OMNI Data Documentation: https://omniweb.gsfc.nasa.gov/html/ow_data.html
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow.h
#                                     COHOWeb-formatted OMNI_M merged magnetic field and plasma data http://cohoweb.gsfc.nasa.gov/           
#                                     Recent OMNI 1-HR Updates News: https://omniweb.gsfc.nasa.gov/html/ow_news.html
#     MODS                            created August 2003;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni2_h0_mrg1hr_00000000_v01
#     PI_NAME                         J.H. King, N. Papitashvili
#     PI_AFFILIATION                  ADNET, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Particles (space)
#                                     Electric Fields (space)
#                                     Activity Indices
#     GENERATED_BY                    King/Papitashvili
#     TIME_RESOLUTION                 1 hour
#     LOGICAL_SOURCE                  omni2_h0_mrg1hr
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, Hourly IMF and Plasma Data, and Energetic Proton                            
#     LOGICAL_SOURCE_DESCRIPTION       Fluxes, Time-Shifted to the Nose of the Earth's Bow Shock, plus Solar and Magnetic                    
#                                      Indices                                                                                               
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     COHOWeb-formatted OMNI_M merged magnetic field and plasma data
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/ow_data.html
#                                     https://omniweb.gsfc.nasa.gov/ow.html
#                                     http://cohoweb.gsfc.nasa.gov/
#                                     https://omniweb.gsfc.nasa.gov/html/ow_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-Particles_mrg1hr_1hour_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://VMO/NumericalData/OMNI/PT1H
#     CDFMAJOR                        ROW_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time_at_center_of_hour
#  2. Dst - 1-hour Dst index (1963/001-2014/366), Provisional Dst (2015/001-2016/366), Quick-look Dst (2017/001-2018/151), from WDC Kyoto
#
TIME_AT_CENTER_OF_HOUR  1-H_DST
dd-mm-yyyy hh:mm:ss.ms       nT
01-01-2007 00:30:00.000      -3
01-01-2007 01:30:00.000       0
01-01-2007 02:30:00.000       1
01-01-2007 03:30:00.000      -1
01-01-2007 04:30:00.000      -6
01-01-2007 05:30:00.000      -8
01-01-2007 06:30:00.000      -9
01-01-2007 07:30:00.000      -8
01-01-2007 08:30:00.000       0
01-01-2007 09:30:00.000       7
01-01-2007 10:30:00.000       8
01-01-2007 11:30:00.000      -2
01-01-2007 12:30:00.000      -9
01-01-2007 13:30:00.000     -11
01-01-2007 14:30:00.000       0
01-01-2007 15:30:00.000       2
01-01-2007 16:30:00.000      -7
01-01-2007 17:30:00.000      -6
01-01-2007 18:30:00.000      -8
01-01-2007 19:30:00.000      -2
01-01-2007 20:30:00.000      -4
01-01-2007 21:30:00.000       1
01-01-2007 22:30:00.000       1
01-01-2007 23:30:00.000      -1
02-01-2007 00:30:00.000     -17
02-01-2007 01:30:00.000     -20
02-01-2007 02:30:00.000     -14
02-01-2007 03:30:00.000     -14
02-01-2007 04:30:00.000     -16
02-01-2007 05:30:00.000     -20
02-01-2007 06:30:00.000     -25
02-01-2007 07:30:00.000     -25
02-01-2007 08:30:00.000     -22
02-01-2007 09:30:00.000     -20
02-01-2007 10:30:00.000     -20
02-01-2007 11:30:00.000     -23
02-01-2007 12:30:00.000     -18
02-01-2007 13:30:00.000     -24
02-01-2007 14:30:00.000     -26
02-01-2007 15:30:00.000     -29
02-01-2007 16:30:00.000     -31
02-01-2007 17:30:00.000     -29
02-01-2007 18:30:00.000     -26
02-01-2007 19:30:00.000     -26
02-01-2007 20:30:00.000     -27
02-01-2007 21:30:00.000     -24
02-01-2007 22:30:00.000     -26
02-01-2007 23:30:00.000     -22
03-01-2007 00:30:00.000     -17
03-01-2007 01:30:00.000     -13
03-01-2007 02:30:00.000     -15
03-01-2007 03:30:00.000     -17
03-01-2007 04:30:00.000     -29
03-01-2007 05:30:00.000     -26
03-01-2007 06:30:00.000     -22
03-01-2007 07:30:00.000     -23
03-01-2007 08:30:00.000     -23
03-01-2007 09:30:00.000     -28
03-01-2007 10:30:00.000     -28
03-01-2007 11:30:00.000     -24
03-01-2007 12:30:00.000     -25
03-01-2007 13:30:00.000     -26
03-01-2007 14:30:00.000     -25
03-01-2007 15:30:00.000     -27
03-01-2007 16:30:00.000     -27
03-01-2007 17:30:00.000     -27
03-01-2007 18:30:00.000     -24
03-01-2007 19:30:00.000     -23
03-01-2007 20:30:00.000     -24
03-01-2007 21:30:00.000     -27
03-01-2007 22:30:00.000     -30
03-01-2007 23:30:00.000     -25
04-01-2007 00:30:00.000     -21
04-01-2007 01:30:00.000     -20
04-01-2007 02:30:00.000     -26
04-01-2007 03:30:00.000     -27
04-01-2007 04:30:00.000     -23
04-01-2007 05:30:00.000     -20
04-01-2007 06:30:00.000     -20
04-01-2007 07:30:00.000     -24
04-01-2007 08:30:00.000     -29
04-01-2007 09:30:00.000     -21
04-01-2007 10:30:00.000     -19
04-01-2007 11:30:00.000     -14
04-01-2007 12:30:00.000     -12
04-01-2007 13:30:00.000     -15
04-01-2007 14:30:00.000     -20
04-01-2007 15:30:00.000     -26
04-01-2007 16:30:00.000     -30
04-01-2007 17:30:00.000     -30
04-01-2007 18:30:00.000     -28
04-01-2007 19:30:00.000     -27
04-01-2007 20:30:00.000     -26
04-01-2007 21:30:00.000     -28
04-01-2007 22:30:00.000     -30
04-01-2007 23:30:00.000     -28
05-01-2007 00:30:00.000     -24
05-01-2007 01:30:00.000     -22
05-01-2007 02:30:00.000     -17
05-01-2007 03:30:00.000     -15
05-01-2007 04:30:00.000     -17
05-01-2007 05:30:00.000     -16
05-01-2007 06:30:00.000     -14
05-01-2007 07:30:00.000     -16
05-01-2007 08:30:00.000     -22
05-01-2007 09:30:00.000     -26
05-01-2007 10:30:00.000     -23
05-01-2007 11:30:00.000     -19
05-01-2007 12:30:00.000     -14
05-01-2007 13:30:00.000     -13
05-01-2007 14:30:00.000     -17
05-01-2007 15:30:00.000     -26
05-01-2007 16:30:00.000     -31
05-01-2007 17:30:00.000     -29
05-01-2007 18:30:00.000     -25
05-01-2007 19:30:00.000     -23
05-01-2007 20:30:00.000     -25
05-01-2007 21:30:00.000     -26
05-01-2007 22:30:00.000     -27
05-01-2007 23:30:00.000     -26
06-01-2007 00:30:00.000     -23
06-01-2007 01:30:00.000     -20
06-01-2007 02:30:00.000     -17
06-01-2007 03:30:00.000     -15
06-01-2007 04:30:00.000     -13
06-01-2007 05:30:00.000     -12
06-01-2007 06:30:00.000     -12
06-01-2007 07:30:00.000     -16
06-01-2007 08:30:00.000     -19
06-01-2007 09:30:00.000     -20
06-01-2007 10:30:00.000     -16
06-01-2007 11:30:00.000     -13
06-01-2007 12:30:00.000     -14
06-01-2007 13:30:00.000     -13
06-01-2007 14:30:00.000     -13
06-01-2007 15:30:00.000     -17
06-01-2007 16:30:00.000     -20
06-01-2007 17:30:00.000     -17
06-01-2007 18:30:00.000     -14
06-01-2007 19:30:00.000     -14
06-01-2007 20:30:00.000     -14
06-01-2007 21:30:00.000     -17
06-01-2007 22:30:00.000     -20
06-01-2007 23:30:00.000     -21
07-01-2007 00:30:00.000     -18
07-01-2007 01:30:00.000     -15
07-01-2007 02:30:00.000     -13
07-01-2007 03:30:00.000     -13
07-01-2007 04:30:00.000     -14
07-01-2007 05:30:00.000     -14
07-01-2007 06:30:00.000     -14
07-01-2007 07:30:00.000     -17
07-01-2007 08:30:00.000     -20
07-01-2007 09:30:00.000     -23
07-01-2007 10:30:00.000     -24
07-01-2007 11:30:00.000     -22
07-01-2007 12:30:00.000     -22
07-01-2007 13:30:00.000     -19
07-01-2007 14:30:00.000     -16
07-01-2007 15:30:00.000     -15
07-01-2007 16:30:00.000     -15
07-01-2007 17:30:00.000     -13
07-01-2007 18:30:00.000     -12
07-01-2007 19:30:00.000     -10
07-01-2007 20:30:00.000     -10
07-01-2007 21:30:00.000     -11
07-01-2007 22:30:00.000     -14
07-01-2007 23:30:00.000     -16
08-01-2007 00:30:00.000     -17
08-01-2007 01:30:00.000     -16
08-01-2007 02:30:00.000     -14
08-01-2007 03:30:00.000     -12
08-01-2007 04:30:00.000      -7
08-01-2007 05:30:00.000      -6
08-01-2007 06:30:00.000      -6
08-01-2007 07:30:00.000      -5
08-01-2007 08:30:00.000      -6
08-01-2007 09:30:00.000      -7
08-01-2007 10:30:00.000      -9
08-01-2007 11:30:00.000      -6
08-01-2007 12:30:00.000      -7
08-01-2007 13:30:00.000      -9
08-01-2007 14:30:00.000      -9
08-01-2007 15:30:00.000      -7
08-01-2007 16:30:00.000      -9
08-01-2007 17:30:00.000     -16
08-01-2007 18:30:00.000     -13
08-01-2007 19:30:00.000      -9
08-01-2007 20:30:00.000      -4
08-01-2007 21:30:00.000      -4
08-01-2007 22:30:00.000      -5
08-01-2007 23:30:00.000      -4
09-01-2007 00:30:00.000      -6
09-01-2007 01:30:00.000      -6
09-01-2007 02:30:00.000      -1
09-01-2007 03:30:00.000       2
09-01-2007 04:30:00.000       4
09-01-2007 05:30:00.000       6
09-01-2007 06:30:00.000       4
09-01-2007 07:30:00.000       3
09-01-2007 08:30:00.000      -1
09-01-2007 09:30:00.000      -2
09-01-2007 10:30:00.000       0
09-01-2007 11:30:00.000      -1
09-01-2007 12:30:00.000      -7
09-01-2007 13:30:00.000     -15
09-01-2007 14:30:00.000     -22
09-01-2007 15:30:00.000     -21
09-01-2007 16:30:00.000     -22
09-01-2007 17:30:00.000     -22
09-01-2007 18:30:00.000     -16
09-01-2007 19:30:00.000     -12
09-01-2007 20:30:00.000      -7
09-01-2007 21:30:00.000      -4
09-01-2007 22:30:00.000      -3
09-01-2007 23:30:00.000      -3
10-01-2007 00:30:00.000      -6
10-01-2007 01:30:00.000      -7
10-01-2007 02:30:00.000      -7
10-01-2007 03:30:00.000      -8
10-01-2007 04:30:00.000      -6
10-01-2007 05:30:00.000      -6
10-01-2007 06:30:00.000      -7
10-01-2007 07:30:00.000      -8
10-01-2007 08:30:00.000      -8
10-01-2007 09:30:00.000     -12
10-01-2007 10:30:00.000     -16
10-01-2007 11:30:00.000     -16
10-01-2007 12:30:00.000     -16
10-01-2007 13:30:00.000     -16
10-01-2007 14:30:00.000     -19
10-01-2007 15:30:00.000     -26
10-01-2007 16:30:00.000     -29
10-01-2007 17:30:00.000     -25
10-01-2007 18:30:00.000     -20
10-01-2007 19:30:00.000     -17
10-01-2007 20:30:00.000     -13
10-01-2007 21:30:00.000     -12
10-01-2007 22:30:00.000     -14
10-01-2007 23:30:00.000     -14
11-01-2007 00:30:00.000     -14
11-01-2007 01:30:00.000     -16
11-01-2007 02:30:00.000     -16
11-01-2007 03:30:00.000     -13
11-01-2007 04:30:00.000     -10
11-01-2007 05:30:00.000      -7
11-01-2007 06:30:00.000      -6
11-01-2007 07:30:00.000      -3
11-01-2007 08:30:00.000      -3
11-01-2007 09:30:00.000      -5
11-01-2007 10:30:00.000     -10
11-01-2007 11:30:00.000     -13
11-01-2007 12:30:00.000     -16
11-01-2007 13:30:00.000     -19
11-01-2007 14:30:00.000     -18
11-01-2007 15:30:00.000     -21
11-01-2007 16:30:00.000     -23
11-01-2007 17:30:00.000     -21
11-01-2007 18:30:00.000     -20
11-01-2007 19:30:00.000     -20
11-01-2007 20:30:00.000     -17
11-01-2007 21:30:00.000     -16
11-01-2007 22:30:00.000     -17
11-01-2007 23:30:00.000     -18
12-01-2007 00:30:00.000     -23
12-01-2007 01:30:00.000     -24
12-01-2007 02:30:00.000     -24
12-01-2007 03:30:00.000     -23
12-01-2007 04:30:00.000     -21
12-01-2007 05:30:00.000     -18
12-01-2007 06:30:00.000     -16
12-01-2007 07:30:00.000     -14
12-01-2007 08:30:00.000     -13
12-01-2007 09:30:00.000     -14
12-01-2007 10:30:00.000     -16
12-01-2007 11:30:00.000     -18
12-01-2007 12:30:00.000     -20
12-01-2007 13:30:00.000     -22
12-01-2007 14:30:00.000     -23
12-01-2007 15:30:00.000     -23
12-01-2007 16:30:00.000     -26
12-01-2007 17:30:00.000     -26
12-01-2007 18:30:00.000     -24
12-01-2007 19:30:00.000     -23
12-01-2007 20:30:00.000     -21
12-01-2007 21:30:00.000     -18
12-01-2007 22:30:00.000     -16
12-01-2007 23:30:00.000     -16
13-01-2007 00:30:00.000     -19
13-01-2007 01:30:00.000     -21
13-01-2007 02:30:00.000     -20
13-01-2007 03:30:00.000     -18
13-01-2007 04:30:00.000     -17
13-01-2007 05:30:00.000     -16
13-01-2007 06:30:00.000     -14
13-01-2007 07:30:00.000     -12
13-01-2007 08:30:00.000     -10
13-01-2007 09:30:00.000     -10
13-01-2007 10:30:00.000     -10
13-01-2007 11:30:00.000     -11
13-01-2007 12:30:00.000     -11
13-01-2007 13:30:00.000     -11
13-01-2007 14:30:00.000     -11
13-01-2007 15:30:00.000     -12
13-01-2007 16:30:00.000     -13
13-01-2007 17:30:00.000     -13
13-01-2007 18:30:00.000     -13
13-01-2007 19:30:00.000     -13
13-01-2007 20:30:00.000     -11
13-01-2007 21:30:00.000      -9
13-01-2007 22:30:00.000      -8
13-01-2007 23:30:00.000      -9
14-01-2007 00:30:00.000      -9
14-01-2007 01:30:00.000     -10
14-01-2007 02:30:00.000     -10
14-01-2007 03:30:00.000     -10
14-01-2007 04:30:00.000     -11
14-01-2007 05:30:00.000     -10
14-01-2007 06:30:00.000      -6
14-01-2007 07:30:00.000      -1
