#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         THEMIS
#     SOURCE_NAME                     THB>Themis Probe B
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#     DATA_TYPE                       FGM
#     DESCRIPTOR                      L2>L2 DATA
#     DATA_VERSION                    1
#     PI_NAME                         V. Angelopoulos, U. Auster & K.H. Glassmeier and W. Baumjohann
#     PI_AFFILIATION                  UCB, TUBS and IWF respectively, NASA NAS5-02099
#     TITLE                           Fluxgate Magnetometer Measurements
#     TEXT                            Sensor and electronics design provided by TUBS (Glassmeier, Auster) and IWF                            
#                                      (Baumjohann, Magnes)                                                                                  
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   THEMIS
#                                     ARTEMIS
#     LOGICAL_SOURCE                  thb_l2_fgm
#     LOGICAL_FILE_ID                 thb_l2_fgm_00000000_v01
#     LOGICAL_SOURCE_DESCRIPTION      Spacecraft-collected fluxgate magnetometer, Decimated TeleMetry High, DSL, GSE                         
#                                      and GSM coordinates                                                                                   
#     TIME_RESOLUTION                 1/4-1/128s
#     RULES_OF_USE                    Open Data for Scientific Use
#     GENERATED_BY                    THEMIS SOC
#     GENERATION_DATE                 Tue Apr 18 14:44:55 2017
#     ACKNOWLEDGEMENT                 NASA Contract NAS5-02099
#     MODS                            Rev- 2006-09-18
#     ADID_REF                        NSSD0110
#     LINK_TEXT                       THEMIS FGM
#                                     Higher resolution data and analysis s/w from
#                                     Detailed description of the
#     LINK_TITLE                      Processing History
#                                     THEMIS mission website
#                                     FGM instrument
#     HTTP_LINK                       http://themis.ssl.berkeley.edu/fgm_proc_history.shtml
#                                     http://themis.ssl.berkeley.edu/
#                                     http://themis.ssl.berkeley.edu/instrument_fgm.shtml
#     FILE_NAMING_CONVENTION          source_descriptor_datatype
#     CAVEATS                         See THEMIS website for caveats
#     VALIDITY                        to be validated
#     VALIDATOR                       tbd
#     VALIDATE                        Compatible with the ISTP CDF Standards
#     INST_MOD                        THM>xxxx
#     PARENTS                         xxxx
#     INST_SETTINGS                   Not used
#     SOFTWARE_VERSION                23132
#     SPASE_DATASETRESOURCEID         spase://VMO/NumericalData/THEMIS/B/FGM/PT0.0078125S
#     CDFMAJOR                        ROW_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. thb_fgs_epoch
#  2. thb_fgs, UTC, in seconds since 01-Jan-1970 00:00:00
#       NOTES:  Unleaped seconds
#  3. ---- FGS (spin-resolution/~3 sec) magnetic  field B in XYZ GSE Coordinates
#       NOTES:  Units are in nanotesla
#
UT                                 UT      BX_FGS-D      BY_FGS-D      BZ_FGS-D
                                             (@_1_)        (@_2_)        (@_3_)
dd-mm-yyyy hh:mm:ss.ms            sec        nT_GSE        nT_GSE        nT_GSE
03-12-2007 00:00:01.817   1.19655E+09     -0.989099      -1.68723       1.56910
03-12-2007 00:00:04.822   1.19655E+09      -2.16880      -2.30289       2.93595
03-12-2007 00:00:07.826   1.19655E+09      -2.67479      -1.76010       1.43211
03-12-2007 00:00:10.831   1.19655E+09      -2.32815      -2.15913       2.34684
03-12-2007 00:00:13.836   1.19655E+09      -3.08766      -2.01522       2.63468
03-12-2007 00:00:16.841   1.19655E+09      -2.75063      -1.97326       1.20033
03-12-2007 00:00:19.845   1.19655E+09      -2.49611      -1.15409       1.09846
03-12-2007 00:00:22.850   1.19655E+09      -3.34658      -2.22765       2.89500
03-12-2007 00:00:25.855   1.19655E+09      -1.85879      -1.60000       2.65406
03-12-2007 00:00:28.860   1.19655E+09      -2.87434      -1.67869       2.14307
03-12-2007 00:00:31.864   1.19655E+09      -1.63955     -0.910310       2.98151
03-12-2007 00:00:34.869   1.19655E+09      -1.66621      -1.26503       3.97128
03-12-2007 00:00:37.874   1.19655E+09      -1.98446      -1.25929       2.32539
03-12-2007 00:00:40.879   1.19655E+09      -2.95850      -1.84695       2.86961
03-12-2007 00:00:43.883   1.19655E+09      -1.75225      -2.70346       2.08773
03-12-2007 00:00:46.888   1.19655E+09      -1.77760      -1.72348       1.18425
03-12-2007 00:00:49.893   1.19655E+09      -2.26512      -1.80536       2.04201
03-12-2007 00:00:52.898   1.19655E+09      -2.43424      -1.63431       1.70277
03-12-2007 00:00:55.903   1.19655E+09      -2.45171      -1.67372       2.64900
03-12-2007 00:00:58.907   1.19655E+09      -1.96220      -1.32740       1.99605
03-12-2007 00:01:01.912   1.19655E+09      -2.37969     -0.790425       2.89801
03-12-2007 00:01:04.917   1.19655E+09      -2.44761     -0.498471       2.69327
03-12-2007 00:01:07.922   1.19655E+09      -2.82520      -1.59885       2.85242
03-12-2007 00:01:10.926   1.19655E+09      -2.83103      -1.08017       2.10719
03-12-2007 00:01:13.931   1.19655E+09      -1.81442      -2.36697       3.67201
03-12-2007 00:01:16.936   1.19655E+09      -2.70511     -0.764679       3.35849
03-12-2007 00:01:19.941   1.19655E+09      -2.26527      -1.85774       1.50693
03-12-2007 00:01:22.945   1.19655E+09      -2.07556     -0.235199       2.35944
03-12-2007 00:01:25.950   1.19655E+09      -3.18678      -1.04117       1.25414
03-12-2007 00:01:28.955   1.19655E+09      -1.63384     -0.915755       2.89759
03-12-2007 00:01:31.960   1.19655E+09      -2.43712      -1.54384       1.02785
03-12-2007 00:01:34.964   1.19655E+09      -2.36826     -0.683032      0.846310
